Anio,MES,OCUPACION,CCAA,CIFRAS_ABSOLUTAS
2023,3,Autonomos,Extremadura,7047
2023,3,Autonomos,Galicia,25972
2023,3,Autonomos,Islas Baleares,20823
2023,3,Autonomos,Pais Vasco,14253
2023,3,Autonomos,Principado de Asturias,9265
2023,3,Autonomos,Region de Murcia,16189
2023,6,Asalariados,Andalucia,381141
2023,6,Asalariados,Aragon,46344
2023,6,Asalariados,Canarias,231362
2023,6,Asalariados,Cantabria,25498
2023,6,Asalariados,Castilla - La Mancha,87355
2023,6,Asalariados,Castilla y Leon,73609
2023,6,Asalariados,Cataluna,395429
2023,6,Asalariados,Ceuta y Melilla,5165
2023,6,Asalariados,Comunidad Foral de Navarra,25287
2023,6,Asalariados,Comunidad Valenciana,229325
2023,6,Asalariados,Comunidad de Madrid,381806
2023,6,Asalariados,Extremadura,25785
2023,6,Asalariados,Galicia,101656
2023,6,Asalariados,Islas Baleares,184271
2023,6,Asalariados,La Rioja,10363
2023,6,Asalariados,Pais Vasco,81260
2023,6,Asalariados,Principado de Asturias,38753
2023,6,Asalariados,Region de Murcia,57274
2023,6,Autonomos,Andalucia,73162
2023,6,Autonomos,Aragon,13006
2023,6,Autonomos,Canarias,39842
2023,6,Autonomos,Cantabria,7235
2023,6,Autonomos,Castilla - La Mancha,19662
2023,6,Autonomos,Castilla y Leon,23937
2023,6,Autonomos,Cataluna,91180
2023,6,Autonomos,Comunidad Foral de Navarra,5295
2023,6,Autonomos,Comunidad Valenciana,50454
2023,6,Autonomos,Comunidad de Madrid,58228
2023,6,Autonomos,Extremadura,8647
2023,6,Autonomos,Galicia,28404
2023,6,Autonomos,Islas Baleares,17887
2023,6,Autonomos,Pais Vasco,17698
2023,6,Autonomos,Principado de Asturias,8048
2023,6,Autonomos,Region de Murcia,15764
2023,9,Asalariados,Andalucia,407357
2023,9,Asalariados,Aragon,50493
2023,9,Asalariados,Canarias,229739
2023,9,Asalariados,Cantabria,28171
2023,9,Asalariados,Castilla - La Mancha,88980
2023,9,Asalariados,Castilla y Leon,74565
2023,9,Asalariados,Cataluna,436104
2023,9,Asalariados,Ceuta y Melilla,5707
2023,9,Asalariados,Comunidad Foral de Navarra,21825
2023,9,Asalariados,Comunidad Valenciana,246319
2023,9,Asalariados,Comunidad de Madrid,365390
2023,9,Asalariados,Extremadura,27158
2023,9,Asalariados,Galicia,106342
2023,9,Asalariados,Islas Baleares,204654
2023,9,Asalariados,La Rioja,10402
2023,9,Asalariados,Pais Vasco,85017
2023,9,Asalariados,Principado de Asturias,43355
2023,9,Asalariados,Region de Murcia,61041
2023,9,Autonomos,Andalucia,67626
2023,9,Autonomos,Aragon,12174
2023,9,Autonomos,Canarias,38062
2023,9,Autonomos,Cantabria,6121
2023,9,Autonomos,Castilla - La Mancha,22667
2023,9,Autonomos,Castilla y Leon,21111
2023,9,Autonomos,Cataluna,77727
2023,9,Autonomos,Ceuta y Melilla,1
2023,9,Autonomos,Comunidad Foral de Navarra,5758
2023,9,Autonomos,Comunidad Valenciana,51162
2023,9,Autonomos,Comunidad de Madrid,59000
2023,9,Autonomos,Extremadura,7941
2023,9,Autonomos,Galicia,30658
2023,9,Autonomos,Islas Baleares,18906
2023,9,Autonomos,Pais Vasco,14434
2023,9,Autonomos,Principado de Asturias,7055
2023,9,Autonomos,Region de Murcia,14119
2023,12,Asalariados,Andalucia,332557
2023,12,Asalariados,Aragon,50749
2023,12,Asalariados,Canarias,232461
2023,12,Asalariados,Cantabria,28327
